,SSC_PERCENTAGE,HSC_PERCENTAGE,DEGREE_PERCENTAGE,EMP_TEST_PERCENTAGE,MBA_PERCENTAGE,GENDER_F,GENDER_M,SSC_BOARD_Central,SSC_BOARD_Others,HSC_BOARD_Central,HSC_BOARD_Others,HSC_SUBJECT_Arts,HSC_SUBJECT_Commerce,HSC_SUBJECT_Science,UNDERGRAD_DEGREE_Comm&Mgmt,UNDERGRAD_DEGREE_Others,UNDERGRAD_DEGREE_Sci&Tech,SPECIALISATION_Mkt&Fin,SPECIALISATION_Mkt&HR,WORK_EXPERIENCE_No,WORK_EXPERIENCE_Yes,Placed
21,79,76,85,95,69.06,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
22,69.8,60.8,72.23,55.53,68.81,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1
23,77.4,60,64.74,92,63.62,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1
24,76.5,97.7,78.86,97.4,74.01,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1
25,52.58,54.6,50.2,76,65.33,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0
26,71,79,66,94,57.55,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1
27,63,67,66,68,57.69,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
28,76.76,76.5,67.5,73.35,64.15,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1
29,62,67,58,77,51.29,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
30,64,73.5,73,52,56.7,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
31,67,53,65,64,58.32,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
32,61,81,66.4,50.89,62.21,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
33,87,65,81,88,72.78,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1
34,62,51,52,68.44,62.77,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0
35,69,78,72,71,62.74,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
36,51,44,57,64,51.45,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
37,79,76,65.6,58,55.47,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1
38,73,58,66,53.7,56.86,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1
39,81,68,64,93,62.56,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1
40,78,77,80,60,66.72,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1
41,74,63.16,65,65,69.76,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
42,49,39,65,63,51.21,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0
43,87,87,68,95,62.9,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
44,77,73,81,89,69.7,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1
45,76,64,72,58,66.53,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
46,70.89,71.98,65.6,68,71.63,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
47,63,60,57,78,54.55,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
48,63,62,68,64,62.46,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
49,50,37,52,65,56.11,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0
50,75.2,73.2,68.4,65,62.98,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1
51,54.4,61.12,56.2,67,62.65,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
52,40.89,45.83,53,71.2,65.49,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
53,80,70,72,87,71.04,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1
54,74,60,69,78,65.56,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1
55,60.4,66.6,65,71,52.71,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1
56,63,71.4,61.4,68,66.88,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
57,68,76,74,80,63.59,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
58,74,62,68,74,57.99,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1
59,52.6,65.58,72.11,57.6,56.66,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1
60,74,70,72,60,57.24,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
61,84.2,73.4,66.89,61.6,62.48,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
62,86.5,64.2,67.4,59,59.69,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1
63,61,70,64,68.5,59.5,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
64,80,73,75,61,58.78,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
65,54,47,57,89.69,57.1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
66,83,74,66,68.92,58.46,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1
67,80.92,78.5,67,68.71,60.99,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
68,69.7,47,72.7,79,59.24,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0
69,73,73,66,70,68.07,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1
70,82,61,62,89,65.45,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1
71,75,70.29,71,95,66.94,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
72,84.86,67,78,95.5,68.53,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1
73,64.6,83.83,71.72,86,59.75,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1
74,56.6,64.8,70.2,84.27,67.2,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
75,59,62,77.5,74,67,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0
76,66.5,70.4,71.93,61,64.27,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1
77,64,80,65,69,57.65,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1
78,84,90.9,64.5,86.04,59.42,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1
79,69,62,66,75,67.99,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
80,69,62,69,67,62.35,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1
81,81.7,63,67,86,70.2,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1
82,63,67,74,82,60.44,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
83,84,79,68,84,66.69,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1
84,70,63,70,55,62,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1
85,83.84,89.83,77.2,78.74,76.18,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1
86,62,63,64,67,57.03,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
87,59.6,51,60,75,59.08,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0
88,66,62,73,58,64.36,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
89,84,75,69,62,62.36,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1
90,85,90,82,92,68.03,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
91,52,57,50.8,67,62.79,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
92,60.23,69,66,72,59.47,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1
93,52,62,54,72,55.41,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0
94,58,62,64,53.88,54.97,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
95,73,78,65,95.46,62.16,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
96,76,70,76,66,64.44,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1
97,70.5,62.5,61,93.91,69.03,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
98,69,73,65,70,57.31,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
99,54,82,63,50,59.47,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0
100,45,57,58,56.39,64.95,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
101,63,72,68,78,60.44,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
102,77,61,68,57.5,61.31,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1
103,73,78,73,85,65.83,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1
104,69,63,65,55,58.23,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1
105,59,64,58,85,55.3,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
106,61.08,50,54,71,65.69,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
107,82,90,83,80,73.52,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
108,61,82,69,84,58.31,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
109,52,63,65,86,56.09,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
110,69.5,70,72,57.2,54.8,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1
111,51,54,61,60,60.64,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0
112,58,61,61,58,53.94,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
113,73.96,79,67,72.15,63.08,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
114,65,68,69,53.7,55.01,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1
115,73,63,66,89,60.5,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1
116,68.2,72.8,66.6,96,70.85,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
117,77,75,73,80,67.05,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1
118,76,80,78,97,70.48,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1
119,60.8,68.4,64.6,82.66,64.34,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
120,58,40,59,73,58.81,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
121,64,67,69.6,55.67,71.49,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1
122,66.5,66.8,69.3,80.4,71,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
123,74,59,73,60,56.7,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1
124,67,71,64.33,64,61.26,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1
125,84,73,73,75,73.33,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
126,79,61,75.5,70,68.2,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1
127,72,60,69,55.5,58.4,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1
128,80.4,73.4,77.72,81.2,76.26,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1
129,76.7,89.7,66,90,68.55,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
130,62,65,60,84,64.15,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
131,74.9,57,62,80,60.78,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1
132,67,68,64,74.4,53.49,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1
133,73,64,77,65,60.98,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1
134,77.44,92,72,94,67.13,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
135,72,56,69,55.6,65.63,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1
136,47,59,64,78,61.58,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
137,67,63,72,56,60.41,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1
138,82,64,73,96,71.77,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1
139,77,70,59,58,54.43,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
140,65,64.8,69.5,56,56.94,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
141,66,64,60,60,61.9,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0
142,85,60,73.43,60,61.29,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1
143,77.67,64.89,70.67,89,60.39,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
144,52,50,61,60,58.52,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0
145,89.4,65.66,71.25,72,63.23,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1
146,62,63,66,85,55.14,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1
147,70,74,65,83,62.28,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
148,77,86,56,57,64.08,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1
149,44,58,55,64.25,58.54,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0
150,71,58.66,58,56,61.3,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1
151,65,65,75,83,58.87,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
152,75.4,60.5,84,98,65.25,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,1
153,49,59,65,86,62.48,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1
154,53,63,60,70,53.2,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
155,51.57,74.66,59.9,56.15,65.99,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
156,84.2,69.4,65,80,52.72,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1
157,66.5,62.5,60.9,93.4,55.03,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
158,67,63,64,60,61.87,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
159,52,49,58,62,60.59,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0
160,87,74,65,75,72.29,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1
161,55.6,51,57.5,57.63,62.72,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
162,74.2,87.6,77.25,75.2,66.06,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
163,63,67,64,75,66.46,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1
164,67.16,72.5,63.35,53.04,65.52,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
165,63.3,78.33,74,80,74.56,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
166,62,62,60,63,52.38,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1
167,67.9,62,67,58.1,75.71,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0
168,48,51,58,60,58.79,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
169,59.96,42.16,61.26,54.48,65.48,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0
170,63.4,67.2,60,58.06,69.28,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
171,80,80,72,63.79,66.04,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1
172,73,58,56,84,52.64,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
173,52,52,55,67,59.32,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0
174,73.24,50.83,64.27,64,66.23,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1
175,63,62,65,87.5,60.69,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0
176,59,60,56,55,57.9,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1
177,73,97,79,89,70.81,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
178,68,56,68,73,68.07,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1
179,77.8,64,64.2,75.5,72.14,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
180,65,71.5,62.8,57,56.6,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
181,62,60.33,64.21,63,60.02,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
182,52,65,57,75,59.81,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0
183,65,77,69,60,61.82,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1
184,56.28,62.83,59.79,60,57.29,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
185,88,72,78,82,71.43,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1
186,52,64,61,55,62.93,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0
187,78.5,65.5,67,95,64.86,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1
188,61.8,47,54.38,57,56.13,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
189,54,77.6,69.2,95.65,66.94,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
190,64,70.2,61,50,62.5,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0
191,67,61,72,72,61.01,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1
192,65.2,61.4,64.8,93.4,57.34,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1
193,60,63,56,80,56.63,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1
194,52,55,56.3,59,64.74,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
195,66,76,72,84,58.95,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1
196,72,63,77.5,78,54.48,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1
197,83.96,53,91,59.32,69.71,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1
198,67,70,65,88,71.96,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0
199,69,65,57,73,55.8,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
200,69,60,65,87.55,52.81,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
201,54.2,63,58,79,58.44,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
202,70,63,66,61.28,60.11,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1
203,55.68,61.33,56.87,66,58.3,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
204,74,73,73,80,67.69,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1
205,61,62,65,62,56.81,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
206,41,42,60,97,53.39,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0
207,83.33,78,61,88.56,71.55,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1
208,43,60,65,92.66,62.92,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
209,62,72,65,67,56.49,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1
210,80.6,82,77.6,91,74.49,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1
211,58,60,72,74,53.62,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1
212,67,67,73,59,69.72,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1
213,74,66,58,70,60.23,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1
214,62,58,53,89,60.22,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0
